Taxa,Area,B_glucan,Circularity,Diameter,DTH,Fe,FLA,FLH,GpS,GWS,GY,HW,Length,Length_Wid,PdH,PdL,Perimeter,PH,Protein,SL,TKW,width,Zn
G15,17.48008,3.735096,1.62047,4.590672,77.66659,42.37146,26.929665,68.14808,60.86161,1.6092967,1.3268677,67.18442,8.234597,2.699877,75.1581,7.413438,23.06549,81.91401,16.34367,7.190143,26.24907,3.160178,23.09143
G17,24.0248,4.91798,1.594149,5.516323,72.94782,31.98555,10.360014,72.29263,24.19307,1.0499514,0.7894572,61.54636,9.709359,2.715359,70.923,-0.4694651,27.65069,78.18191,14.89079,7.774403,34.40251,3.642822,31.3048
G18,22.31159,6.486921,1.88353,5.300697,67.63327,38.35437,12.498014,65.75745,54.97432,2.2009551,0.6427446,62.71205,10.391873,3.057265,72.01977,5.528869,28.8476,80.49193,15.69438,8.564636,30.16602,3.448112,34.63071
G19,22.16574,4.644751,1.842835,5.282069,66.7145,33.48559,17.097568,71.3344,50.09106,1.7704126,0.8506992,58.93797,10.146264,3.160355,74.86428,2.781836,28.18461,83.05631,14.79745,7.698733,25.25619,3.256399,24.83683
G21,22.09289,7.192076,1.702472,5.339215,74.74008,34.40342,22.289915,66.79994,27.99183,1.1919266,1.6268913,62.10976,9.774886,2.909411,67.94772,2.287618,27.07904,75.67244,14.53886,8.387825,30.83805,3.458478,35.03879
G22,31.1648,6.052485,1.894075,6.276427,69.30903,32.43725,12.927719,64.02002,22.4526,1.1178439,1.5131742,63.54126,12.269004,3.248814,69.74427,6.617394,34.11969,77.03305,14.67751,7.099863,33.30004,3.845056,31.87869
G24,23.31557,6.012412,2.098832,5.437139,67.30102,29.73927,18.517655,59.09612,46.17143,1.5558863,0.9819892,57.14529,11.245481,3.618558,63.9416,5.609405,30.87909,72.34495,13.91755,8.856912,31.23531,3.199072,31.0777
G25,22.76795,7.020738,2.107453,5.389902,74.14476,27.63361,13.887284,66.36492,52.25376,2.0513374,1.219637,54.21239,11.246682,3.653743,74.29003,8.04245,30.71493,80.10286,13.63174,5.770578,29.31995,3.149211,31.91793
G26,24.30342,5.654099,2.178583,5.550252,72.67107,28.45071,17.923778,59.86896,50.19127,1.8954818,1.2719992,57.86379,11.855403,3.830433,60.04626,0.5895591,32.27733,66.19045,13.68584,5.988156,34.09335,3.139757,28.28504
G27,26.71765,6.843048,1.901164,5.813589,73.28984,29.29955,14.568973,64.31698,21.45214,0.9694237,1.5341996,61.81072,11.417267,3.294862,64.61219,0.2909361,31.59962,71.85276,13.99942,7.169823,33.19058,3.541241,29.4331
