germplasmName	CROP	CROSS/ENTRY	PLT_SOURCE	SELECTION_HISTORY	SN	Sample BC
X98fae69ab2c7	Durum wheat	GRS011-0197	21140255	GRS011-0197-3M-2M	2100923	GWP2100923
X99287573bc29	Bread wheat	GRSW170056	21120097	GRSW170056-M0-M0-M2-M3	2100393	GWP2100393
X99394245d71d	Bread wheat	-	2113020	1504048-M0-1603086-M1-18070081-M0-20130013-M1-M4	2100560	GWP2100560
X9955d8af8e97	Durum wheat	GRS011-0253	21140337	GRS011-0253-3M-2M	2101035	GWP2101035
X9957bf5d22c6	Durum wheat	GRS011-0191	21140230	GRS011-0191 1T-2A-0A-3M-3M	2100867	GWP2100867
X99680ec168c7	Bread wheat	TCI19-7006	2111018	TCI19-7006-M3-M1	2100133	GWP2100133
X998e02520269	Bread wheat	GRS011-0284	21140420	GRS011-0284 1T-2A-0A-2M-2M	2101179	GWP2101179
X9990cf711fc4	Durum wheat	GRS011-0253	21140327	GRS011-0253-1M-6M	2101006	GWP2101006
X99c241fc3576	Durum wheat	GRS011-0191	21140232	GRS011-0191-2M-1M	2100875	GWP2100875
X99ca83e00b99	Durum wheat	GRS011-0277	21260413	GRS011-0277-1M-2SEA	2101768	GWP2101768
X99ee9ee6bdf8	Durum wheat	GRS011-024	21140030	GRS011-024-1M-1M	2100642	GWP2100642
X99f5def1b98d	Durum wheat	GRS011-0181	21260200	GRS011-0181-4M-1SEA	2101559	GWP2101559
X99f727722c61	Durum wheat	GRS011-310	21140548	GRS011-310 1T-1A-0A-2M-4M	2101334	GWP2101334
X9a1947b09ce3	Durum wheat	GRS011-0237	21140301	GRS011-0237 1T-3A-0A-1M-2M	2100971	GWP2100971
X9a54c5594f79	Bread wheat	TCI19-7007	2111022	TCI19-7007-M0-M14	2100181	GWP2100181
X9a5fa01e6390	Bread wheat	GRSW170047	21120071	GRSW170047-M0-M0-M2-M1	2100328	GWP2100328
X9a65252dc0af	Bread wheat	GRS18-7001	21120030	GRS18-7001-10SB-M3-M3	2100230	GWP2100230
X9aa0928db697	Bread wheat	-	Repl-37	1504066-M0-1603047-M0-18070022-M0-20130002-M1-AN1	2100382	GWP2100382
X9adc23b3e113	Durum wheat	GRS011-0253	21140332	GRS011-0253-3M-2M	2101019	GWP2101019
X9b06ca5f558a	Bread wheat	-	2113029	1504023-M0-1603069-M1-18070103-M0-20130017-M2-M1	2100576	GWP2100576
X9b2381448b32	Durum wheat	GRS011-0138	21140138	GRS011-0138 1T-2A-0A-1M-2M	2100729	GWP2100729
X9b2e7c13be25	Bread wheat	TCI19-7001	2111002	TCI19-7001-M2-M7	2100007	GWP2100007
X9ba492121261	Durum wheat	GRS011-0263	21260381	GRS011-0263 1T-1A-0A-2M-1SEA	2101707	GWP2101707
X9bb2fc1630d6	Durum wheat	GRS011-0209	21140273	GRS011-0209 1T-2A-0A-2M-2M	2100945	GWP2100945
